With mlj(j) cuts:

process |eeSR1jet       mmSR1jet        emSR1jet        eeSR23jets      mmSR23jets      emSR23jets
ZV      |2.09           3.85            4.01            0.66            1.53            5.47
WW      |0.39           0.27            0.51            0.34            0.40            0.60
Top     |0.13           0.01            0.14            0.08            0.02            0.13
Z+jets  |0.07           0.00            0.00            0.57            0.00            0.08
Higgs   |0.00           0.13            0.11            0.04            0.04            0.08
Fakes   |0.00           0.00            0.00            0.00            0.00            0.00
Total:  |2.67           4.26            4.77            1.70            1.99            6.36

Without mlj(j) cuts:

process |eeSR1jet       mmSR1jet        emSR1jet        eeSR23jets      mmSR23jets      emSR23jets
ZV      |4.05           7.93            8.51            4.64            11.32           27.70
WW      |0.83           0.63            1.13            3.25            4.37            7.50
Top     |0.27           0.01            0.31            0.76            0.30            1.31
Z+jets  |0.26           0.00            0.01            1.39            0.00            0.31
Higgs   |0.03           0.19            0.16            0.08            0.16            0.31
Fakes   |0.00           0.00            0.00            0.00            0.00            0.00
Total:  |5.44           8.76            10.12           10.13           16.15           37.12

