TABLE 1:
process |eeSR1jet       mmSR1jet        emSR1jet        eeSR23jets      mmSR23jets      emSR23jets
Fakes   |2.64           0.00            1.33            2.04            0.00            0.25
ZV      |2.09           3.85            2.18            0.66            1.53            1.05
WW      |0.39           0.27            0.30            0.33            0.40            0.21
Top     |0.13           0.01            0.08            0.08            0.02            0.06
Z+jets  |0.07           0.00            0.00            0.57            0.00            0.00
Higgs   |0.00           0.13            0.07            0.04            0.04            0.02
Total:  |5.31           4.26            3.96            3.73            1.99            1.58

TABLE 2:
process |eeSR1jet       mmSR1jet        emSR1jet        eeSR23jets      mmSR23jets      emSR23jets
Fakes   |2.64           0.00            1.33            2.04            0.00            0.25
S-S     |2.30           4.13            2.37            0.93            1.95            1.23
C-Flip  |0.37           0.00            0.19            0.71            0.00            0.08
Higgs   |0.00           0.13            0.07            0.04            0.04            0.02
Total:  |5.31           4.26            3.96            3.73            1.99            1.58
